Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,99,Yes,9,1,91
4,82,No,4,2,65
8,51,Yes,7,2,45
5,52,Yes,5,2,36
7,75,No,8,5,66
3,78,No,9,6,61
7,73,Yes,5,6,63
8,45,Yes,4,6,42
5,77,No,8,2,61
4,89,No,4,0,69
8,91,No,4,5,84
8,79,No,6,2,73
3,47,No,9,2,27
6,47,No,4,2,33
5,79,No,7,8,68
2,72,No,4,3,43
8,73,Yes,8,4,67
6,83,Yes,7,2,70
2,54,Yes,4,9,30
5,75,No,7,0,63
1,99,Yes,4,3,71
6,96,No,9,0,85
9,74,Yes,7,6,73
1,85,No,5,6,57
3,61,No,6,3,35
7,62,Yes,7,4,49
4,79,No,8,9,66
9,84,Yes,6,6,83
3,94,Yes,6,5,74
5,90,Yes,4,3,74
3,61,Yes,7,3,39
7,44,Yes,9,1,36
5,70,Yes,6,9,58
9,52,Yes,8,1,47
7,67,Yes,9,3,60
2,97,Yes,9,4,74
4,59,No,8,3,42
9,72,No,8,2,68
2,55,Yes,4,1,32
9,68,No,5,3,64
5,62,No,7,4,45
2,63,Yes,6,0,39
4,73,Yes,7,0,58
7,46,No,9,5,36
8,77,Yes,6,4,71
3,76,Yes,4,3,54
1,43,Yes,7,0,17
4,73,No,4,6,54
2,81,Yes,4,3,58
8,61,No,7,2,53
4,44,Yes,7,6,27
2,89,Yes,6,1,65
6,81,No,9,9,75
6,62,Yes,9,0,52
4,93,No,8,3,78
6,99,No,4,7,91
2,54,Yes,9,5,33
2,70,Yes,5,8,47
4,98,No,6,0,78
8,48,No,6,0,38
7,82,Yes,8,4,70
9,97,Yes,8,5,98
8,92,Yes,4,7,87
5,64,Yes,6,2,49
2,64,Yes,6,5,41
5,88,No,5,2,71
8,60,No,4,7,54
9,48,No,4,3,42
9,94,No,9,1,91
1,87,Yes,8,8,61
9,77,No,9,9,74
7,61,Yes,4,7,54
9,82,Yes,5,5,81
8,62,Yes,4,2,52
1,88,Yes,9,1,65
8,43,Yes,7,3,36
8,68,No,7,3,61
3,54,Yes,5,0,35
1,40,Yes,8,8,15
8,93,Yes,6,9,88
3,69,No,4,7,45
3,68,Yes,9,6,49
1,59,Yes,8,5,33
5,72,Yes,9,2,60
7,80,No,8,3,71
9,83,Yes,4,1,81
7,75,No,6,6,67
9,99,No,4,1,95
8,61,Yes,6,9,58
2,52,No,9,0,29
1,46,No,5,5,21
7,47,Yes,6,3,38
7,67,Yes,8,7,60
8,84,Yes,5,0,76
5,82,Yes,9,8,69
3,48,No,7,5,30
8,64,No,5,1,57
6,95,Yes,6,7,81
3,55,Yes,5,4,36
